#This contains the progression of a (failed) monte carlo simulation of the most recent run of the program (hope commenting works)
iteration,progress
0,10
0,11
5,12
15,13
23,12
47,11
68,12
79,11
106,12
110,13
114,12
136,11
154,12
213,11
263,12
292,13
306,12
309,13
311,14
315,15
321,16
328,17
339,18
353,17
362,18
367,17
369,18
382,19
402,20
404,21
405,22
426,23
427,24
429,25
445,26
450,25
459,26
478,27
489,28
499,29
504,28
506,29
510,30
516,31
518,32
520,31
528,32
533,33
544,34
548,35
568,36
576,37
584,38
602,39
605,40
628,41
638,42
645,43
649,44
650,45
657,44
658,45
669,46
673,47
678,48
685,47
687,46
688,47
689,46
693,47
695,48
714,49
721,48
723,47
724,46
729,47
743,48
746,47
753,46
759,47
760,48
771,49
773,50
777,51
779,52
784,53
795,54
813,53
819,52
825,53
835,52
839,53
857,52
872,53
875,54
880,55
884,56
887,57
893,56
895,57
915,58
918,57
920,58
921,57
922,56
923,57
952,58
953,59
954,60
968,61
969,60
970,61
971,60
989,59
1005,60
1006,59
1010,58
1011,59
1036,58
1037,57
1053,58
1054,59
1066,60
1080,59
1084,60
1086,61
1087,60
1090,59
1098,60
1104,61
1107,60
1108,61
1109,60
1118,59
1120,60
1135,61
1147,62
1160,61
1163,62
1169,63
1179,64
1183,65
1199,66
1200,65
1209,64
1211,65
1216,64
1219,63
1238,64
1240,65
1251,66
1252,65
1259,64
1263,65
1267,66
1270,67
1271,68
1272,69
1275,70
1280,71
1285,72
1295,71
1307,72
1311,71
1314,72
1316,73
1327,72
1335,73
1357,72
1359,73
1361,74
1370,75
1374,76
1401,77
1406,78
1410,79
1412,78
1438,79
1451,78
1461,79
1462,80
1471,79
1481,78
1486,79
1488,78
1490,77
1495,78
1506,79
1519,80
1523,79
1534,80
1535,79
1563,80
1568,79
1571,78
1577,79
1581,78
1594,79
1596,78
1599,79
1601,80
1610,79
1616,78
1622,77
1638,78
1643,79
1646,80
1649,79
1652,78
1662,79
1665,78
1673,77
1679,76
1682,75
1684,74
1694,75
1695,74
1696,73
1698,74
1700,73
1702,74
1704,73
1707,72
1715,71
1720,72
1723,71
1727,70
1728,69
1729,68
1736,69
1745,70
1757,69
1760,68
1762,67
1772,66
1784,67
1788,66
1794,65
1800,66
1802,65
1813,64
1824,63
1827,62
1829,63
1830,62
1842,61
1844,62
1845,61
1857,60
1864,59
1870,58
1874,57
1878,58
1882,57
1896,56
1900,57
1911,56
1917,55
1920,54
1929,53
1933,54
1944,53
1945,54
1951,53
1972,52
1979,51
1984,52
1988,51
1994,52
1995,51
1998,50
2004,49
2015,50
2039,49
2059,48
2061,47
2075,46
2078,45
2097,46
2107,45
2108,44
2118,45
2121,46
2128,47
2148,46
2166,45
2171,44
2182,45
2186,44
2187,43
2195,44
2196,45
2198,44
2204,43
2208,44
2222,45
2242,46
2253,45
2255,46
2329,45
2349,44
2351,43
2355,42
2358,41
2371,42
2377,41
2380,40
2391,39
2394,38
2396,37
2414,36
2435,37
2451,38
2455,39
2456,38
2460,37
2463,38
2466,37
2467,36
2468,37
2484,36
2489,35
2490,34
2491,35
2494,36
2498,35
2521,36
2523,35
2528,36
2565,37
2566,38
2585,39
2599,38
2613,39
2626,40
2632,39
2633,40
2653,41
2679,40
2681,39
2698,38
2699,37
2700,36
2707,35
2737,36
2765,35
2768,34
2771,33
2781,34
2784,35
2795,34
2810,35
2818,34
2824,35
2849,36
2854,35
2863,34
2864,33
2869,34
2880,35
2890,34
2933,33
2940,34
2946,33
2947,34
2965,33
2976,34
2979,35
2982,34
2997,33
3005,34
3014,33
3016,34
3024,35
3030,34
3044,35
3057,36
3071,37
3082,36
3089,37
3104,36
3112,37
3125,38
3139,37
3144,36
3158,37
3170,36
3174,35
3176,36
3183,35
3190,36
3191,35
3198,34
3203,35
3232,34
3238,33
3247,34
3249,33
3277,34
3286,35
3299,36
3306,35
3311,36
3331,37
3339,36
3351,37
3363,38
3376,39
3377,38
3386,37
3388,36
3397,35
3412,34
3413,33
3423,32
3430,33
3456,32
3458,33
3475,34
3486,33
3490,32
3503,33
3509,32
3516,31
3535,30
3545,29
3551,30
3564,31
3568,32
3574,31
3618,30
3635,29
3638,28
3643,27
3650,26
3653,25
3656,24
3687,25
3699,24
3704,23
3728,22
3732,21
3734,22
3742,23
3743,22
3756,21
3762,20
3789,21
3803,22
3806,21
3811,20
3812,21
3826,20
3828,19
3852,20
3853,19
3858,18
3866,17
3871,16
3884,15
3901,14
3966,13
3971,12
3979,11
4029,10
4032,9
4126,8
4144,7
4146,8
4160,9
4185,10
4291,9
4322,10
4324,9
4355,8
4376,9
4404,10
4422,9
4432,10
4436,9
4454,10
4479,11
4506,12
4537,13
4564,12
4574,11
4676,12
4696,13
4719,12
4765,11
4773,12
4819,11
4834,10
4853,9
4867,8
4877,9
4887,8
4944,7
4993,8
5021,7
5032,6
5069,5
5127,6
5270,5
5298,6
5368,5
5417,4
5430,3
5482,4
5489,5
5525,6
5566,5
5592,4
5713,5
5715,6
5750,7
5752,6
5846,7
5851,8
5891,7
5907,6
5980,7
5989,8
6008,7
