#This contains the progression of a (successful) monte carlo simulation of the most recent run of the program (hope commenting works)
iteration,progress
0,10
71,9
95,8
110,9
175,10
217,11
241,12
255,13
257,14
284,13
358,12
415,13
469,12
470,11
498,10
512,9
518,8
551,9
552,8
633,9
645,10
661,11
759,10
770,9
792,10
828,9
882,8
945,9
967,8
995,9
1017,8
1067,9
1137,8
1146,7
1237,6
1255,7
1312,8
1321,7
1325,8
1403,9
1412,10
1495,11
1534,10
1585,11
1722,12
1788,11
1798,10
1831,9
1853,8
1874,9
1962,10
2019,9
2041,10
2088,11
2093,12
2131,13
2139,12
2150,11
2205,10
2299,11
2310,12
2327,13
2483,14
2510,15
2574,16
2583,15
2610,16
2622,15
2638,16
2647,17
2702,18
2704,19
2743,18
2750,17
2831,16
2890,15
2987,16
3014,17
3025,18
3034,17
3058,16
3136,17
3429,18
3430,19
3534,18
3561,17
3578,18
3654,19
3831,20
3859,21
3924,20
4105,21
4107,20
4123,21
4140,22
4191,21
4226,22
4285,23
4303,22
4362,23
4366,22
4371,23
4392,24
4445,25
4468,24
4481,25
4529,24
4537,25
4609,26
4616,27
4626,26
4663,25
4723,24
4743,23
4775,22
4791,21
4839,22
4840,23
4934,22
4946,21
4980,22
4982,23
4989,24
4998,25
5035,24
5045,25
5087,24
5112,25
5141,24
5196,23
5293,24
5391,25
5412,26
5438,27
5500,28
5537,29
5561,28
5617,27
5644,26
5682,27
5694,26
5725,27
5748,26
5769,25
5781,26
5795,25
5809,26
5812,25
5822,26
5833,27
5935,28
5941,29
5942,30
5950,31
5978,30
5982,29
6009,28
6010,27
6011,26
6050,25
6064,24
6102,25
6104,26
6112,27
6118,28
6145,27
6154,28
6184,29
6188,28
6196,27
6213,26
6230,27
6282,28
6285,29
6292,30
6304,31
6326,30
6341,31
6342,30
6343,29
6348,30
6440,29
6457,30
6458,29
6575,30
6577,29
6581,30
6602,31
6609,32
6675,31
6721,32
6762,33
6778,34
6787,35
6802,36
6831,37
6832,36
6842,35
6843,36
6852,37
6889,38
6890,39
6919,38
6922,37
6925,38
6941,39
6954,40
6965,39
6967,40
6988,41
7007,42
7012,43
7033,44
7036,43
7060,42
7063,43
7073,44
7077,43
7109,44
7177,43
7222,42
7232,41
7233,40
7235,39
7244,38
7258,37
7265,38
7293,37
7309,38
7315,39
7336,40
7350,41
7365,40
7380,41
7381,42
7399,41
7403,40
7412,39
7420,38
7425,37
7445,38
7450,37
7451,36
7502,35
7564,36
7565,35
7600,34
7615,35
7632,36
7642,37
7664,38
7675,37
7710,38
7713,37
7732,36
7748,37
7750,36
7865,35
7877,34
7878,33
7903,34
7911,35
7917,36
7925,37
7953,36
7987,35
7997,36
8000,37
8011,36
8039,37
8051,36
8062,35
8099,34
8106,33
8113,32
8144,31
8147,30
8152,29
8195,30
8212,31
8222,30
8256,31
8320,32
8395,31
8407,30
8469,31
8481,32
8493,33
8536,32
8541,31
8548,30
8615,29
8626,30
8632,29
8637,28
8640,27
8680,28
8691,29
8694,30
8699,29
8716,28
8785,29
8796,28
8807,29
8850,28
8895,29
8973,30
8974,29
9016,28
9092,27
9119,26
9125,25
9133,26
9175,27
9186,28
9228,27
9251,28
9262,27
9321,26
9338,25
9414,24
9418,25
9478,24
9481,23
9533,22
9548,21
9549,20
9568,21
9585,20
9621,19
9701,20
9831,19
9832,18
9861,17
9898,18
9950,19
9966,20
9971,21
9991,20
10053,19
10069,20
10079,19
10144,18
10151,17
10160,16
10170,15
10218,14
10272,13
10346,14
10349,13
10399,12
10420,13
10464,14
10517,13
10557,14
10593,13
10696,12
10703,13
10714,12
10729,11
10781,10
10791,11
10854,10
10874,11
10882,10
10913,9
10918,10
10948,11
10959,10
11006,9
11048,10
11099,11
11155,10
11268,9
11311,8
11384,9
11428,8
11447,7
11599,8
11644,9
11662,10
11694,11
11702,12
11713,11
11745,12
11800,13
11816,14
11922,13
11933,12
11957,13
12066,14
12071,15
12084,14
12098,15
12116,16
12144,17
12175,18
12207,17
12219,16
12231,17
12241,18
12269,17
12287,18
12288,19
12293,20
12297,19
12356,18
12362,19
12381,18
12422,19
12448,18
12494,19
12536,20
12565,19
12615,18
12645,17
12743,16
12837,15
12957,14
12982,13
13042,12
13044,13
13098,14
13124,13
13125,12
13156,11
13161,10
13203,9
13229,8
13253,9
13306,8
13346,9
13349,10
13467,9
13520,8
13523,7
13545,6
13557,5
13582,4
13584,3
13738,2
13752,3
13770,4
13881,5
13916,4
13966,5
14052,6
14061,5
14062,6
14223,5
14239,4
14251,5
14408,4
14433,3
14519,2
14615,3
14624,2
15351,3
15410,4
15554,3
15666,4
15680,3
15710,4
15833,3
15891,4
16092,3
16288,2
16340,3
16426,4
16467,5
16532,4
16662,3
16802,2
16888,3
17032,2
17119,3
17244,2
17319,3
17341,2
17387,3
17718,4
17831,5
17926,4
17942,5
18054,4
18071,3
18085,4
18144,5
18188,6
18276,7
18283,8
18307,9
18319,10
18382,11
18393,10
18396,11
18415,10
18420,9
18443,8
18444,9
18556,10
18562,11
18575,12
18581,11
18613,12
18620,13
18632,14
18635,15
18660,16
18680,15
18740,16
18753,17
18758,18
18768,17
18772,16
18773,15
18784,16
18788,17
18804,16
18831,15
18837,16
18848,15
18852,16
18880,17
18910,16
18921,15
18930,16
18931,17
18954,16
18965,15
18975,16
18984,15
18992,14
19030,13
19039,12
19087,13
19098,14
19142,15
19149,14
19158,15
19165,16
19266,15
19285,14
19291,15
19294,16
19320,17
19336,16
19358,17
19361,18
19363,19
19374,20
19376,19
19380,20
19386,19
19407,18
19425,19
19442,18
19519,19
19525,18
19541,19
19597,18
19622,19
19670,20
19692,21
19702,22
19710,23
19751,24
19762,25
19765,24
19771,23
19789,22
19792,21
19798,20
19806,19
19861,18
19889,17
19907,16
19910,15
19927,16
19976,17
19988,18
19990,19
19993,20
20143,21
20180,22
20243,23
20250,22
20280,21
20284,22
20297,23
20333,22
20338,23
20339,24
20349,25
20351,26
20363,25
20365,26
20368,27
20380,28
20383,27
20436,26
20450,25
20463,26
20505,27
20512,26
20519,25
20549,24
20551,23
20552,24
20563,25
20575,24
20584,25
20601,26
20606,27
20614,28
20615,29
20619,30
20628,29
20630,28
20635,29
20638,30
20649,29
20650,28
20656,29
20674,28
20690,27
20691,26
20709,25
20723,24
20780,25
20793,26
20805,25
20808,24
20813,25
20820,24
20848,23
20851,22
20869,21
20871,20
20878,21
20907,20
20932,21
20959,22
21008,23
21015,22
21018,21
21028,20
21080,19
21089,20
21093,19
21098,18
21105,19
21115,20
21172,19
21178,18
21189,19
21198,18
21202,17
21235,18
21243,19
21272,20
21301,19
21347,20
21390,21
21391,22
21398,21
21401,20
21404,21
21414,20
21426,21
21442,22
21449,21
21453,20
21457,21
21459,20
21490,19
21511,20
21513,21
21572,22
21575,21
21587,22
21589,23
21602,22
21610,23
21622,24
21641,23
21648,22
21664,23
21674,24
21676,25
21698,24
21701,23
21711,22
21730,23
21743,24
21750,23
21759,24
21765,23
21773,24
21799,23
21808,24
21826,23
21828,24
21831,23
21834,22
21837,21
21863,20
21874,19
21876,20
21885,19
21959,18
21980,17
21989,16
22007,17
22011,16
22027,15
22028,14
22049,15
22061,16
22063,17
22136,18
22161,17
22193,16
22205,17
22233,16
22240,15
22270,16
22274,15
22283,14
22300,15
22315,16
22362,17
22372,16
22434,15
22435,16
22448,17
22462,16
22490,17
22509,18
22510,17
22513,18
22515,19
22555,20
22576,19
22589,18
22596,17
22628,16
22643,17
22680,16
22730,15
22734,14
22756,15
22809,14
22821,15
22823,16
22824,15
22828,16
22863,15
22892,16
22928,17
22932,18
22954,17
22960,18
22964,17
22965,16
22999,17
23006,16
23037,17
23040,16
23071,15
23084,14
23097,13
23105,12
23127,13
23139,12
23141,13
23267,14
23283,15
23307,16
23354,15
23388,14
23392,15
23420,14
23444,15
23471,16
23480,15
23493,16
23499,15
23504,14
23522,15
23552,16
23568,15
23588,14
23593,15
23594,16
23599,17
23604,16
23635,15
23674,14
23710,13
23739,12
23750,13
23786,12
23828,13
23830,12
23834,13
23848,12
23891,11
23893,10
23956,11
23973,12
23977,11
24014,12
24019,13
24032,14
24044,13
24047,12
24051,13
24070,12
24082,13
24095,14
24163,15
24169,14
24188,15
24189,16
24200,15
24210,14
24213,13
24243,14
24248,15
24250,16
24253,15
24291,14
24300,13
24313,12
24320,13
24348,14
24370,15
24378,14
24380,13
24393,12
24408,13
24414,14
24428,15
24437,16
24479,15
24490,14
24528,13
24560,12
24599,13
24624,12
24670,13
24684,14
24689,15
24690,14
24691,15
24699,14
24753,13
24781,12
24788,13
24812,14
24831,15
24855,16
24885,15
24918,16
24947,15
24962,14
24975,15
24985,14
25004,15
25013,16
25081,17
25097,18
25102,17
25107,18
25113,17
25120,16
25130,15
25153,16
25163,15
25215,14
25217,13
25247,12
25250,13
25261,12
25286,13
25293,14
25325,13
25343,14
25362,15
25378,14
25386,15
25396,16
25405,17
25436,18
25437,17
25455,18
25471,19
25505,20
25513,21
25526,20
25530,21
25551,20
25556,19
25608,18
25617,17
25664,18
25681,17
25706,18
25711,19
25716,18
25721,19
25729,20
25762,19
25793,18
25807,17
25814,16
25815,17
25854,18
25946,19
25966,20
26008,19
26012,18
26031,19
26073,18
26096,17
26100,18
26125,19
26151,18
26158,19
26178,20
26181,19
26193,20
26201,21
26214,22
26223,21
26250,22
26260,23
26263,24
26266,25
26271,24
26306,25
26339,24
26348,25
26377,26
26384,27
26387,28
26394,27
26399,26
26406,27
26429,26
26436,25
26477,26
26479,27
26482,26
26494,27
26495,28
26504,27
26514,28
26522,27
26527,28
26529,27
26537,28
