#This contains the summary of progression of monte carlo simulations of the most recent run of the program (hope commenting works)
success,influence extrema
false,13
false,32
false,178
false,31
false,34
false,22
false,10
false,11
false,28
false,10
false,21
false,18
false,15
false,13
false,172
false,118
false,31
false,389
false,39
false,11
false,19
false,12
false,27
false,10
false,66
false,11
false,15
false,52
false,11
false,20
false,13
false,17
false,12
false,10
false,31
false,52
false,40
false,90
false,16
false,12
false,11
false,28
false,61
false,16
false,79
false,30
false,15
false,21
false,11
false,51
false,11
false,15
false,10
false,10
false,13
false,13
false,11
false,15
false,12
false,41
false,10
false,10
false,50
false,10
false,13
false,29
false,50
false,13
false,26
false,17
false,13
false,15
false,14
false,14
false,11
false,10
false,11
false,25
false,10
false,10
false,13
false,16
false,12
false,11
false,13
false,17
false,12
false,10
true,10
false,11
false,13
false,39
false,12
false,141
false,10
false,13
false,17
false,12
false,14
false,11
false,71
false,10
false,12
false,13
false,101
false,27
false,24
false,17
false,12
false,25
false,159
false,25
false,11
false,13
false,10
false,39
false,10
false,12
false,16
false,12
false,21
false,10
false,33
false,14
false,102
false,11
false,43
false,29
false,25
false,78
false,13
false,11
false,39
false,47
false,11
false,10
false,60
false,10
false,11
false,10
false,10
false,65
false,25
false,11
false,11
false,74
false,16
false,41
false,10
false,41
false,16
false,15
false,22
false,11
false,12
false,25
false,20
false,20
false,39
false,224
false,10
false,10
false,13
false,10
false,59
false,11
false,68
false,23
false,10
false,73
false,27
false,20
false,19
false,73
false,12
false,66
false,10
false,33
false,31
false,23
true,9
false,116
false,11
false,29
false,13
false,65
false,11
false,10
false,31
false,12
false,18
false,196
false,10
false,14
false,47
false,30
false,13
false,13
false,19
false,66
false,17
false,10
false,18
false,11
false,10
false,12
false,31
false,21
false,31
false,85
false,27
false,11
false,15
false,50
false,192
false,15
false,12
false,22
false,31
false,154
false,31
false,54
false,10
false,10
false,19
false,16
false,15
false,158
false,10
false,10
false,11
false,11
false,61
false,291
false,11
false,10
false,11
false,14
false,59
false,33
false,27
false,11
false,405
false,12
false,39
false,10
false,60
false,95
false,103
false,10
false,60
false,19
false,11
false,29
false,10
false,45
false,24
false,84
false,410
false,35
false,16
false,11
false,59
false,107
false,17
false,10
false,352
false,24
true,10
false,32
false,10
false,160
false,103
false,16
false,12
false,11
false,11
false,111
false,11
false,10
false,11
false,12
false,10
false,60
false,11
false,10
false,10
false,13
false,14
false,43
false,87
false,173
false,45
false,56
false,10
false,28
false,13
false,10
false,45
false,10
false,17
false,11
false,231
false,10
false,11
false,13
false,25
false,33
false,16
false,13
false,28
false,11
false,77
false,26
false,12
false,32
false,27
true,6
false,10
false,12
false,11
false,10
false,36
false,15
false,108
false,22
false,56
false,14
false,23
false,16
false,12
false,11
false,11
false,10
false,14
false,15
false,82
false,75
false,22
false,86
false,10
false,10
false,179
false,29
false,30
false,45
false,16
false,33
false,10
false,78
false,13
false,11
false,11
false,30
false,13
false,262
false,10
false,10
false,25
false,71
false,481
false,11
false,194
false,26
false,16
false,26
false,14
false,10
false,17
false,20
false,12
false,46
false,11
false,10
false,83
false,10
false,71
false,94
false,10
false,12
false,10
false,34
false,32
false,24
false,31
false,15
false,10
false,14
false,17
false,10
false,12
false,13
false,64
false,10
false,45
false,12
false,16
false,127
false,33
false,10
false,10
false,15
false,12
false,22
false,18
false,30
false,10
false,31
false,250
false,10
false,12
false,11
false,10
false,10
false,14
false,17
false,15
false,46
false,13
false,12
false,41
false,51
false,23
false,10
false,12
false,15
false,10
false,14
false,205
false,14
false,10
false,94
false,84
false,23
false,18
false,13
false,16
false,18
false,323
false,172
false,16
false,262
false,51
false,37
false,103
false,11
false,23
false,10
false,10
false,10
false,11
false,12
false,12
false,31
false,73
false,38
false,142
false,33
true,3
false,13
false,21
false,110
false,169
false,18
false,10
false,10
false,12
false,12
false,11
false,18
false,45
false,18
false,11
false,10
false,118
false,16
false,10
false,11
false,24
false,16
false,13
false,15
false,34
false,10
false,49
false,31
false,16
false,10
false,10
false,11
false,65
false,16
false,77
false,61
false,11
false,10
false,11
false,10
false,11
false,23
false,11
false,11
false,10
false,85
false,56
false,17
false,70
false,13
false,13
false,11
false,12
false,14
false,21
false,141
false,70
false,12
false,11
false,25
false,11
false,18
false,19
false,16
false,13
false,18
false,10
false,19
false,10
false,11
false,25
false,15
false,22
false,29
false,109
false,15
false,12
false,11
false,40
false,232
true,6
false,15
false,74
false,14
false,12
false,56
false,11
false,10
true,5
false,55
false,20
false,234
false,49
false,10
false,36
false,19
false,13
false,10
true,5
false,12
false,30
false,10
false,10
false,149
false,12
false,55
false,42
false,33
false,12
false,12
false,21
false,10
false,25
false,17
false,10
false,19
false,13
false,18
false,235
false,11
false,12
false,10
false,32
false,10
false,140
false,72
false,10
false,16
false,10
false,22
false,11
false,20
false,11
false,11
false,31
false,44
false,10
false,10
false,11
false,10
false,298
false,12
false,42
false,32
false,14
false,10
false,52
false,10
false,14
false,14
false,15
false,10
false,14
false,14
false,22
false,12
false,10
false,13
false,14
false,15
false,65
false,84
false,10
false,97
false,39
false,10
false,10
false,11
false,25
false,10
false,16
false,10
false,11
false,21
false,12
false,22
false,12
true,6
false,11
false,13
false,90
false,18
false,10
false,14
false,11
false,77
false,116
false,16
false,11
false,23
false,11
false,10
false,10
false,155
false,11
false,10
false,10
false,11
false,13
false,11
false,10
false,55
false,61
false,74
false,11
false,304
false,11
false,11
false,11
false,30
false,29
false,10
false,14
false,25
false,46
false,11
false,21
false,11
false,69
false,10
false,19
false,25
false,10
false,133
false,345
false,318
false,44
false,20
false,258
false,10
false,40
false,13
false,18
false,12
false,10
false,10
false,10
false,10
false,24
false,20
false,96
true,5
false,10
false,13
false,10
false,10
false,13
