k,p,mutation-rate,trials,k-init,weighted-init,probability,sim-time(seconds),mutations
25,1,0.2,10,false,false,0.125,0.0113674,11
25,1,0.2,10,false,false,0.107,0.0101042,7
25,1,0.2,10,false,false,0.098,0.00952028,5
25,1,0.2,10,false,false,0.093,0.00980006,11
25,1,0.2,10,false,false,0.088,0.0111149,2
25,1,0.2,10,false,false,0.086,0.0104853,7
25,1,0.2,10,false,false,0.085,0.0118863,2
25,1,0.2,10,false,false,0.071,0.00951855,2
25,1,0.2,10,false,false,0.067,0.00738272,6
25,1,0.2,10,false,false,0.061,0.00795339,3
50,1,0.2,10,false,false,0.195,0.0200539,13
50,1,0.2,10,false,false,0.182,0.0164303,7
50,1,0.2,10,false,false,0.138,0.0170202,2
50,1,0.2,10,false,false,0.136,0.0151547,1
50,1,0.2,10,false,false,0.13,0.0139295,3
50,1,0.2,10,false,false,0.125,0.0142927,3
50,1,0.2,10,false,false,0.113,0.0134638,1
50,1,0.2,10,false,false,0.111,0.0122044,1
50,1,0.2,10,false,false,0.111,0.0125697,2
50,1,0.2,10,false,false,0.104,0.0114864,0
100,1,0.2,10,false,false,0.315,0.0286222,13
100,1,0.2,10,false,false,0.284,0.0288948,4
100,1,0.2,10,false,false,0.283,0.0272595,5
100,1,0.2,10,false,false,0.283,0.0229605,0
100,1,0.2,10,false,false,0.28,0.0257574,3
100,1,0.2,10,false,false,0.261,0.0252914,4
100,1,0.2,10,false,false,0.248,0.0238912,1
100,1,0.2,10,false,false,0.235,0.0217302,4
100,1,0.2,10,false,false,0.231,0.021196,2
100,1,0.2,10,false,false,0.214,0.0208856,3
200,1,0.2,10,false,false,0.497,0.0337346,6
200,1,0.2,10,false,false,0.489,0.0356067,7
200,1,0.2,10,false,false,0.483,0.0349631,7
200,1,0.2,10,false,false,0.482,0.0302528,2
200,1,0.2,10,false,false,0.47,0.0320103,3
200,1,0.2,10,false,false,0.466,0.0321571,2
200,1,0.2,10,false,false,0.463,0.0323963,5
200,1,0.2,10,false,false,0.458,0.029616,2
200,1,0.2,10,false,false,0.457,0.0293285,2
200,1,0.2,10,false,false,0.426,0.0317046,2
250,1,0.2,10,false,false,0.593,0.0326483,5
250,1,0.2,10,false,false,0.59,0.038199,6
250,1,0.2,10,false,false,0.59,0.0358592,4
250,1,0.2,10,false,false,0.578,0.0321957,3
250,1,0.2,10,false,false,0.572,0.0331298,2
250,1,0.2,10,false,false,0.567,0.0363545,4
250,1,0.2,10,false,false,0.566,0.0317183,3
250,1,0.2,10,false,false,0.565,0.035636,6
250,1,0.2,10,false,false,0.555,0.032932,3
250,1,0.2,10,false,false,0.553,0.0317331,1
300,1,0.2,10,false,false,0.703,0.0321053,4
300,1,0.2,10,false,false,0.697,0.0287476,3
300,1,0.2,10,false,false,0.69,0.0322067,4
300,1,0.2,10,false,false,0.684,0.0337913,3
300,1,0.2,10,false,false,0.673,0.0329114,2
300,1,0.2,10,false,false,0.665,0.0275435,1
300,1,0.2,10,false,false,0.662,0.0334271,4
300,1,0.2,10,false,false,0.66,0.0292406,2
300,1,0.2,10,false,false,0.655,0.0380308,6
300,1,0.2,10,false,false,0.649,0.0355931,6
400,1,0.2,10,false,false,0.87,0.0218856,2
400,1,0.2,10,false,false,0.865,0.0219683,2
400,1,0.2,10,false,false,0.858,0.0238725,5
400,1,0.2,10,false,false,0.857,0.0220962,1
400,1,0.2,10,false,false,0.852,0.0257851,5
400,1,0.2,10,false,false,0.847,0.0260611,5
400,1,0.2,10,false,false,0.847,0.0240483,4
400,1,0.2,10,false,false,0.844,0.0249467,1
400,1,0.2,10,false,false,0.837,0.0221367,1
400,1,0.2,10,false,false,0.836,0.0216562,1
25,1,0.2,10,true,false,0.257,0.020855,0
25,1,0.2,10,true,false,0.253,0.0203795,0
25,1,0.2,10,true,false,0.248,0.0276035,1
25,1,0.2,10,true,false,0.247,0.0277135,1
25,1,0.2,10,true,false,0.245,0.0204846,0
25,1,0.2,10,true,false,0.243,0.0238266,1
25,1,0.2,10,true,false,0.243,0.0206128,0
25,1,0.2,10,true,false,0.243,0.0207192,0
