k-value,mutation-rate,trials,initialization,fitness,success-rate,sim-time,mutations,mean-degree,mean-p
1,0.2,10,none,none,0.009,0.215397,3,34,0.882604
1,0.2,10,none,none,0.005,0.0939603,3,49,1.87859
1,0.2,10,none,none,0.004,0.0546682,2,66,2.85818
1,0.2,10,none,none,0.004,0.0413316,2,73,3.81074
1,0.2,10,none,none,0.003,0.0514219,2,84,4.81058
1,0.2,10,none,none,0.002,0.0288767,0,91,5.81027
1,0.2,10,none,none,0.002,0.0544354,1,97,6.78345
1,0.2,10,none,none,0.002,0.0697486,2,113,7.78167
1,0.2,10,none,none,0.001,0.0185621,0,118,8.54105
1,0.2,10,none,none,0,0.0215856,0,124,9.52803
1,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.024,Top-Degree,0,0
2,0.2,10,none,none,0.015,0.758494,2,37.5,0.489776
2,0.2,10,none,none,0.015,0.374895,1,59.75,0.865036
2,0.2,10,none,none,0.014,0.260782,1,72.875,1.42155
2,0.2,10,none,none,0.009,0.153789,2,49.4375,1.30521
2,0.2,10,none,none,0.008,0.139175,2,33.2188,1.40691
2,0.2,10,none,none,0.003,0.0806309,2,23.6094,1.57986
2,0.2,10,none,none,0.003,0.0697766,1,17.3047,1.55525
2,0.2,10,none,none,0.002,0.113295,0,19.1523,1.53719
2,0.2,10,none,none,0.002,0.0390743,1,17.5762,1.40304
2,0.2,10,none,none,0.001,0.0205264,1,12.7881,1.69477
2,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.043,Top-Degree,0,0
4,0.2,10,none,none,0.023,0.408488,1,34.75,0.963944
4,0.2,10,none,none,0.019,0.563518,2,14.9375,0.942079
4,0.2,10,none,none,0.013,0.238109,3,18.9844,1.15105
4,0.2,10,none,none,0.011,0.156016,2,17.4961,1.2826
4,0.2,10,none,none,0.009,0.240057,2,17.124,1.26486
4,0.2,10,none,none,0.009,0.272224,2,13.781,1.26603
4,0.2,10,none,none,0.009,0.151347,0,15.6953,1.29138
4,0.2,10,none,none,0.008,0.213265,2,17.9238,1.09263
4,0.2,10,none,none,0.006,0.150426,1,17.231,1.24349
4,0.2,10,none,none,0.004,0.0775132,1,11.0577,1.28768
4,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.082,Top-Degree,0,0
22,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.2,Top-Degree,82.7273,0.976724
23,0.2,10,none,none,0.331,0.590051,8,17.8696,0.840311
23,0.2,10,none,none,0.125,0.284922,8,33.9074,0.946706
23,0.2,10,none,none,0.105,0.272937,1,30.3438,0.909464
23,0.2,10,none,none,0.097,0.292308,5,32.0584,0.895141
23,0.2,10,none,none,0.096,0.240025,11,28.133,0.984265
23,0.2,10,none,none,0.084,0.342457,6,27.9623,0.928017
23,0.2,10,none,none,0.075,0.203715,4,24.7375,0.921245
23,0.2,10,none,none,0.073,0.188003,5,19.3364,0.938946
23,0.2,10,none,none,0.068,0.209707,5,18.1016,0.912908
23,0.2,10,none,none,0.067,0.272825,1,17.6566,0.876362
23,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.225,Top-Degree,81.7826,0.97747
20,0.2,10,none,none,0.341,0.965778,7,16.45,0.770244
20,0.2,10,none,none,0.324,0.72643,5,21.5725,0.880931
20,0.2,10,none,none,0.313,0.845822,5,13.7786,0.887697
20,0.2,10,none,none,0.108,0.60877,1,21.6389,0.922574
20,0.2,10,none,none,0.096,0.201822,4,33.6819,0.996884
20,0.2,10,none,none,0.08,0.257173,3,30.6341,0.891855
20,0.2,10,none,none,0.068,0.190374,1,21.2817,0.938426
20,0.2,10,none,none,0.064,0.149823,2,22.3641,0.973048
20,0.2,10,none,none,0.057,0.183513,2,19.4182,0.941687
20,0.2,10,none,none,0.048,0.171227,2,15.8209,0.880301
20,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.165,Top-Degree,84.9,0.97775
21,0.2,10,none,none,0.344,0.425221,8,21.4762,0.880107
21,0.2,10,none,none,0.343,1.35248,1,19.4512,0.831417
21,0.2,10,none,none,0.33,0.915408,7,16.1167,0.863899
21,0.2,10,none,none,0.317,1.42963,1,17.9103,0.922367
21,0.2,10,none,none,0.108,0.698597,3,13.9957,0.750188
21,0.2,10,none,none,0.092,0.214716,6,32.7141,0.935305
21,0.2,10,none,none,0.083,1.03242,0,14.415,0.908477
21,0.2,10,none,none,0.077,0.264555,3,22.734,0.875934
21,0.2,10,none,none,0.069,0.165061,2,19.8445,0.903864
21,0.2,10,none,none,0.061,0.176139,2,19.9926,1.01853
21,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.193,Top-Degree,83.7619,0.978808
24,0.2,10,none,none,0.372,0.598154,8,21.4583,0.81291
24,0.2,10,none,none,0.348,1.82176,6,33.4358,0.906405
24,0.2,10,none,none,0.148,1.59625,1,29.6432,0.914793
24,0.2,10,none,none,0.097,0.367429,12,18.0268,0.879173
24,0.2,10,none,none,0.091,0.28904,4,24.9178,0.886275
24,0.2,10,none,none,0.077,0.319172,1,15.1632,0.858623
24,0.2,10,none,none,0.074,0.181444,5,21.7151,0.950559
24,0.2,10,none,none,0.07,0.302864,2,15.2798,0.891092
24,0.2,10,none,none,0.065,0.180867,3,16.47,0.881554
24,0.2,10,none,none,0.051,0.165621,2,14.5612,0.886444
24,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.225,Top-Degree,80.8333,0.978406
25,0.2,10,none,none,0.368,0.553756,7,24.72,0.789409
25,0.2,10,none,none,0.344,1.53988,1,19.0688,0.837454
25,0.2,10,none,none,0.34,0.613797,8,15.5628,0.878317
25,0.2,10,none,none,0.321,1.34574,0,8.14251,0.885411
25,0.2,10,none,none,0.132,0.666856,8,21.3257,0.843905
25,0.2,10,none,none,0.117,0.553481,8,19.613,0.892418
25,0.2,10,none,none,0.103,0.24887,6,19.1445,0.831978
25,0.2,10,none,none,0.071,0.221179,2,13.9258,0.863496
25,0.2,10,none,none,0.07,0.620808,2,19.957,0.862827
25,0.2,10,none,none,0.059,0.397061,2,19.5583,0.965629
25,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.23,Top-Degree,79.92,0.9769
