greedy_mc_i100_features,greedy_mc_i100_spread,greedy_mc_i100_time
0,97.2335,0
448,98.6787,5.4335
29458819,99.5071,10.783
48970972,100.134,16.1185
35323770,100.76,21.4062
1513304,101.387,26.5836
4445253,101.387,31.7262
26326157,101.389,36.8846
27045802,101.762,41.9996
58802848,102.389,47.1699
84875903,102.728,52.2788
28836942,103.354,57.4267
25380626,103.355,62.5448
23390361,103.729,67.6571
141087,103.729,72.7811
44781847,104.242,77.9984
64831419,104.868,83.097
32149661,105.368,88.2263
23639186,105.368,93.4077
51645602,105.692,98.5312
23972239,105.693,103.656
74682016,105.888,108.789
26284064,106.215,113.946
1711,106.841,119.131
30207089,106.841,124.261
20844846,107.038,129.402
7921086,107.451,134.545
22742053,107.451,139.72
82197743,107.451,144.84
6508,107.452,150.004
90983046,107.825,155.192
8779055,108.199,160.39
376600,108.199,165.597
30360552,108.199,170.808
18768371,108.199,175.962
28199,108.199,181.107
32114286,108.199,186.298
49732629,108.199,191.477
9146327,108.199,196.649
9041277,108.425,201.942
563289,108.711,207.133
42981815,108.711,212.361
1016424,109.084,217.543
56,109.085,222.753
27832286,109.085,227.917
30192213,109.085,233.148
49927887,109.085,238.318
496248,109.282,243.486
22222333,109.282,248.639
110415,109.282,253.781
64904254,109.282,258.948
12607615,109.282,264.123
2389183,109.282,269.26
33880573,109.282,274.408
2682332,109.36,279.592
58770059,109.36,284.759
41859371,109.36,289.876
34161355,109.733,295.007
87403989,109.733,300.093
17557916,109.914,305.247
34491673,109.914,310.371
