greedy_simpath_t0.5_features,greedy_simpath_t0.5_spread,greedy_simpath_t0.5_time
0,97.2335,0
448,98.6787,0.0294198
9041277,99.3053,0.0590337
29458819,100.134,0.0889028
1513304,100.76,0.11858
69273673,101.387,0.148412
28836942,102.014,0.177757
1711,102.64,0.207627
48970972,103.267,0.237517
64831419,103.893,0.267662
630211,104.12,0.297494
58802848,104.346,0.3275
39482285,104.573,0.35719
41588298,104.8,0.38675
35323770,104.854,0.417224
612294,104.907,0.447385
30007037,104.918,0.477791
17975248,104.918,0.508317
24199118,104.918,0.538912
10408,104.918,0.568391
5771609,104.918,0.599137
39439883,104.918,0.629706
18602409,104.918,0.659917
9632159,104.918,0.690412
22277555,104.918,0.720688
702176,104.918,0.750649
64904254,104.918,0.779924
30758352,104.918,0.809968
10729221,104.918,0.840194
9516243,104.918,0.869955
331702,104.918,0.899861
3177,104.918,0.929868
16154177,104.918,0.959114
4238200,104.918,0.988879
19822061,104.918,1.01893
33082620,104.918,1.04865
335982,104.918,1.07861
1257062,104.918,1.10852
945415,104.918,1.13823
828006,104.918,1.16821
1296253,104.918,1.19817
48921,104.918,1.22795
70468135,104.918,1.25792
67132434,104.918,1.28768
32407329,104.919,1.31717
23224608,104.919,1.34697
580755,104.919,1.37659
665357,104.919,1.40646
28202773,104.919,1.43638
32844640,104.919,1.46612
272993,104.919,1.49586
53119556,104.919,1.52544
45661658,104.919,1.55535
1040,104.919,1.58528
62611753,104.919,1.61494
59570143,104.919,1.64462
47591566,104.919,1.67429
35850395,104.919,1.7034
23758226,104.919,1.73294
19503169,104.919,1.76258
11944871,104.919,1.79231
