top_simpath_features,top_simpath_spread,top_simpath_time
0,97.2335,0
448,98.6787,0.111662
29458819,99.5071,0.111662
41588298,100.135,0.111662
35323770,100.362,0.111662
9041277,100.415,0.111662
30007037,100.426,0.111662
1513304,101.052,0.111662
39482285,101.279,0.111662
64831419,101.905,0.111662
612294,102.132,0.111662
28836942,102.759,0.111662
58802848,103.385,0.111662
1711,104.012,0.111662
630211,104.065,0.111662
69273673,104.291,0.111662
48970972,104.918,0.111662
44781847,105.431,0.111662
11305909,105.931,0.111662
32149661,106.18,0.111662
40835481,106.288,0.111662
932,106.681,0.111662
1991,107.039,0.111662
32358583,107.413,0.111662
1016424,107.787,0.111662
8779055,108.161,0.111662
32148366,108.534,0.111662
598398,108.806,0.111662
90983046,109.18,0.111662
34161355,109.554,0.111662
23390361,109.928,0.111662
27045802,110.301,0.111662
25388481,110.675,0.111662
20894983,111.049,0.111662
57321641,111.208,0.111662
2295629,111.291,0.111662
84875903,111.63,0.111662
4717720,111.799,0.111662
26284064,112.126,0.111662
49815,112.244,0.111662
82545064,112.273,0.111662
35502680,112.281,0.111662
31885,112.282,0.111662
60929052,112.283,0.111662
20535,112.284,0.111662
24548,112.284,0.111662
1180,112.404,0.111662
7921086,112.727,0.111662
31778585,113.14,0.111662
29773549,113.309,0.111662
8828301,113.776,0.111662
51645602,113.836,0.111662
35744422,113.864,0.111662
258,114.261,0.111662
429039,114.546,0.111662
563289,114.772,0.111662
366,115.061,0.111662
6208,115.218,0.111662
25362950,115.418,0.111662
9040121,115.614,0.111662
13315670,115.796,0.111662
