k-value,mutation-rate,trials,initialization,fitness,success-rate,sim-time,mutations,mean-degree,mean-p
25,0.2,10,none,none,0.111,0.113958,5,35.52,0.337605
25,0.2,10,none,none,0.102,0.135397,1,45.6608,0.327397
25,0.2,10,none,none,0.094,0.101878,0,29.3464,0.417564
25,0.2,10,none,none,0.085,0.0987187,7,51.0939,0.40127
25,0.2,10,none,none,0.064,0.0908567,3,45.0038,0.390031
25,0.2,10,none,none,0.064,0.11891,2,34.5202,0.380133
25,0.2,10,none,none,0.049,0.0924099,6,41.3808,0.432206
25,0.2,10,none,none,0.039,0.0747231,5,30.4552,0.414659
25,0.2,10,none,none,0.038,0.0737608,2,27.4582,0.389186
25,0.2,10,none,none,0.03,0.0569235,1,26.2983,0.468622
25,0.2,10,top-degree,p-fitness,0.211,0.244628,0,159.84,0.40918
25,0.2,10,top-degree,p-fitness,0.209,0.28446,1,147.194,0.380227
25,0.2,10,top-degree,p-fitness,0.209,0.256099,1,142.928,0.393908
25,0.2,10,top-degree,p-fitness,0.207,0.247147,1,147.877,0.378493
25,0.2,10,top-degree,p-fitness,0.204,0.236523,0,165.755,0.42432
25,0.2,10,top-degree,p-fitness,0.204,0.250919,0,166.47,0.426153
25,0.2,10,top-degree,p-fitness,0.203,0.235253,0,166.499,0.426226
25,0.2,10,top-degree,p-fitness,0.203,0.280829,2,132.58,0.362235
25,0.2,10,top-degree,p-fitness,0.201,0.273772,2,131.223,0.333322
25,0.2,10,top-degree,p-fitness,0.2,0.267565,1,145.569,0.365856
25,0.2,10,bot-p,k-fitness,0.235,0.240944,4,62.88,0.220447
25,0.2,10,bot-p,k-fitness,0.231,0.275836,2,59.5552,0.194361
25,0.2,10,bot-p,k-fitness,0.216,0.233341,4,51.8222,0.236202
25,0.2,10,bot-p,k-fitness,0.214,0.233681,3,49.8329,0.247778
25,0.2,10,bot-p,k-fitness,0.214,0.213881,3,48.0733,0.236355
25,0.2,10,bot-p,k-fitness,0.208,0.251312,2,34.2429,0.188352
25,0.2,10,bot-p,k-fitness,0.205,0.22299,2,37.6097,0.179027
25,0.2,10,bot-p,k-fitness,0.204,0.222269,3,49.8244,0.231254
25,0.2,10,bot-p,k-fitness,0.202,0.220154,3,47.993,0.23267
25,0.2,10,bot-p,k-fitness,0.195,0.211434,1,31.5997,0.15834
50,0.2,10,top-degree,p-fitness,0.491,0.362399,1,108.96,0.347351
50,0.2,10,top-degree,p-fitness,0.48,0.355393,1,111.179,0.346933
50,0.2,10,top-degree,p-fitness,0.453,0.37743,3,91.3436,0.292385
50,0.2,10,top-degree,p-fitness,0.357,0.38519,3,103.787,0.312603
50,0.2,10,top-degree,p-fitness,0.353,0.381056,2,102.756,0.319775
50,0.2,10,top-degree,p-fitness,0.346,0.414926,1,111.695,0.345607
50,0.2,10,top-degree,p-fitness,0.339,0.314913,0,131.474,0.397249
50,0.2,10,top-degree,p-fitness,0.338,0.314669,0,131.869,0.398282
50,0.2,10,top-degree,p-fitness,0.33,0.309714,1,111.597,0.360966
50,0.2,10,top-degree,p-fitness,0.318,0.314636,2,105.472,0.327283
50,0.2,10,bot-p,k-fitness,0.369,0.375976,3,55.32,0.251865
50,0.2,10,bot-p,k-fitness,0.34,0.338328,4,46.0264,0.262066
50,0.2,10,bot-p,k-fitness,0.34,0.313749,4,50.0005,0.261501
50,0.2,10,bot-p,k-fitness,0.335,0.322521,3,43.44,0.241713
50,0.2,10,bot-p,k-fitness,0.335,0.312977,3,42.4288,0.2549
50,0.2,10,bot-p,k-fitness,0.331,0.401657,1,33.9686,0.170379
50,0.2,10,bot-p,k-fitness,0.326,0.328556,3,42.6794,0.253436
50,0.2,10,bot-p,k-fitness,0.325,0.355007,3,42.4536,0.254176
50,0.2,10,bot-p,k-fitness,0.324,0.338227,3,41.2491,0.274445
50,0.2,10,bot-p,k-fitness,0.32,0.293405,1,35.745,0.190858
50,0.2,10,none,none,0.286,0.26608,10,48.68,0.390426
50,0.2,10,none,none,0.261,0.206699,10,50.9736,0.379175
50,0.2,10,none,none,0.22,0.195996,7,42.6995,0.418116
50,0.2,10,none,none,0.217,0.195549,10,43.574,0.402389
50,0.2,10,none,none,0.215,0.280876,9,40.6315,0.389963
50,0.2,10,none,none,0.189,0.230507,11,31.3326,0.391907
50,0.2,10,none,none,0.142,0.205991,1,44.8667,0.363286
50,0.2,10,none,none,0.127,0.169116,0,39.4573,0.388505
50,0.2,10,none,none,0.097,0.180859,1,38.7891,0.408004
50,0.2,10,none,none,0.086,0.143074,5,32.2558,0.39821
200,0.2,10,top-degree,p-fitness,0.806,0.311303,1,52.66,0.35532
200,0.2,10,top-degree,p-fitness,0.791,0.280844,1,53.2933,0.349649
200,0.2,10,top-degree,p-fitness,0.786,0.337652,2,51.3065,0.328495
200,0.2,10,top-degree,p-fitness,0.779,0.314662,1,53.3665,0.354297
200,0.2,10,top-degree,p-fitness,0.778,0.340439,1,53.3968,0.358404
200,0.2,10,top-degree,p-fitness,0.777,0.329354,3,46.907,0.310829
200,0.2,10,top-degree,p-fitness,0.776,0.282224,1,53.0345,0.350584
200,0.2,10,top-degree,p-fitness,0.768,0.366793,3,46.2452,0.313942
200,0.2,10,top-degree,p-fitness,0.703,0.290313,0,63.0412,0.401286
200,0.2,10,top-degree,p-fitness,0.665,0.32974,1,53.1652,0.35159
200,0.2,10,bot-p,k-fitness,0.773,0.333378,4,50.12,0.339383
200,0.2,10,bot-p,k-fitness,0.757,0.335262,4,48.1006,0.350947
200,0.2,10,bot-p,k-fitness,0.756,0.325487,4,48.5405,0.35211
200,0.2,10,bot-p,k-fitness,0.754,0.324715,3,46.3927,0.340019
200,0.2,10,bot-p,k-fitness,0.751,0.303983,2,41.792,0.310036
200,0.2,10,bot-p,k-fitness,0.747,0.340566,3,45.459,0.336655
200,0.2,10,bot-p,k-fitness,0.746,0.335513,4,48.0373,0.347365
200,0.2,10,bot-p,k-fitness,0.739,0.348413,4,46.6702,0.338924
200,0.2,10,bot-p,k-fitness,0.734,0.338976,4,47.4134,0.355284
200,0.2,10,bot-p,k-fitness,0.734,0.333093,4,45.8671,0.341086
100,0.2,10,top-degree,p-fitness,0.637,0.403831,2,73.84,0.316739
100,0.2,10,top-degree,p-fitness,0.63,0.440713,4,65.1784,0.283343
100,0.2,10,top-degree,p-fitness,0.613,0.405857,2,69.7118,0.324717
100,0.2,10,top-degree,p-fitness,0.589,0.369806,3,64.4171,0.302621
100,0.2,10,top-degree,p-fitness,0.51,0.32436,0,95.7642,0.400512
100,0.2,10,top-degree,p-fitness,0.506,0.327991,1,80.7976,0.356806
100,0.2,10,top-degree,p-fitness,0.501,0.33204,0,95.928,0.401053
100,0.2,10,top-degree,p-fitness,0.501,0.329303,0,96.0793,0.401496
100,0.2,10,top-degree,p-fitness,0.499,0.340208,0,96.0808,0.4015
100,0.2,10,top-degree,p-fitness,0.482,0.344079,1,81.0808,0.361221
100,0.2,10,none,none,0.386,0.337876,8,38.44,0.371169
100,0.2,10,none,none,0.374,0.349595,6,43.7844,0.376673
100,0.2,10,none,none,0.362,0.350623,6,38.3978,0.377324
100,0.2,10,none,none,0.352,0.287586,3,38.844,0.410401
100,0.2,10,none,none,0.319,0.281739,3,40.7684,0.381168
100,0.2,10,none,none,0.315,0.27558,2,33.8877,0.391648
100,0.2,10,none,none,0.314,0.29925,8,31.8189,0.366421
100,0.2,10,none,none,0.291,0.242609,1,29.4982,0.396788
100,0.2,10,none,none,0.29,0.273864,6,32.055,0.403448
100,0.2,10,none,none,0.224,0.236443,0,40.8405,0.418067
100,0.2,10,bot-p,k-fitness,0.546,0.375562,4,50.66,0.293831
100,0.2,10,bot-p,k-fitness,0.534,0.361942,3,50.0466,0.290428
100,0.2,10,bot-p,k-fitness,0.533,0.41505,4,49.1605,0.300465
100,0.2,10,bot-p,k-fitness,0.529,0.352418,4,52.2516,0.300923
100,0.2,10,bot-p,k-fitness,0.526,0.382807,3,50.3625,0.289483
100,0.2,10,bot-p,k-fitness,0.525,0.348898,3,46.4436,0.292858
100,0.2,10,bot-p,k-fitness,0.51,0.370678,4,46.5244,0.323591
100,0.2,10,bot-p,k-fitness,0.506,0.399261,2,40.2852,0.260331
